14.99 0.0 1.0200E-07 0.0
14.98 0.0 1.1162E-07 0.0
14.97 0.0 1.2201E-07 0.0
14.96 0.0 1.3323E-07 0.0
14.95 0.0 1.4533E-07 0.0
14.94 0.0 1.5835E-07 0.0
14.93 0.0 1.7236E-07 0.0
14.92 0.0 1.8743E-07 0.0
14.91 0.0 2.0362E-07 0.0
14.90 0.0 2.2100E-07 0.0
14.89 0.0 2.3964E-07 0.0
14.88 0.0 2.5962E-07 0.0
14.87 0.0 2.8101E-07 0.0
14.86 0.0 3.0389E-07 0.0
14.85 0.0 3.2836E-07 0.0
14.84 0.0 3.5450E-07 0.0
14.83 0.0 3.8239E-07 0.0
14.82 0.0 4.1213E-07 0.0
14.81 0.0 4.4380E-07 0.0
14.80 0.0 4.7750E-07 0.0
14.79 0.0 5.1334E-07 0.0
14.78 0.0 5.5145E-07 0.0
14.77 0.0 5.9195E-07 0.0
14.76 0.0 6.3494E-07 0.0
14.75 0.0 6.8057E-07 0.0
14.74 0.0 7.2893E-07 0.0
14.73 0.0 7.8017E-07 0.0
14.72 0.0 8.3445E-07 0.0
14.71 0.0 8.9189E-07 0.0
14.70 0.0 9.5263E-07 0.0
14.69 0.0 1.0168E-06 0.0
14.68 0.0 1.0846E-06 0.0
14.67 0.0 1.1560E-06 0.0
14.66 0.0 1.2314E-06 0.0
14.65 0.0 1.3109E-06 0.0
14.64 0.0 1.3946E-06 0.0
14.63 0.0 1.4828E-06 0.0
14.62 0.0 1.5757E-06 0.0
14.61 0.0 1.6733E-06 0.0
14.60 0.0 1.7760E-06 0.0
14.59 0.0 1.8840E-06 0.0
14.58 0.0 1.9974E-06 0.0
14.57 0.0 2.1164E-06 0.0
14.56 0.0 2.2413E-06 0.0
14.55 0.0 2.3723E-06 0.0
14.54 0.0 2.5094E-06 0.0
14.53 0.0 2.6531E-06 0.0
14.52 0.0 2.8036E-06 0.0
14.51 0.0 2.9611E-06 0.0
14.50 0.0 3.1260E-06 0.0
14.49 0.0 3.2985E-06 0.0
14.48 0.0 3.4788E-06 0.0
14.47 0.0 3.6672E-06 0.0
14.46 0.0 3.8640E-06 0.0
14.45 0.0 4.0696E-06 0.0
14.44 0.0 4.2842E-06 0.0
14.43 0.0 4.5081E-06 0.0
14.42 0.0 4.7414E-06 0.0
14.41 0.0 4.9845E-06 0.0
14.40 0.0 5.2378E-06 0.0
14.39 0.0 5.5017E-06 0.0
14.38 0.0 5.7765E-06 0.0
14.37 0.0 6.0627E-06 0.0
14.36 0.0 6.3605E-06 0.0
14.35 0.0 6.6702E-06 0.0
14.34 0.0 6.9924E-06 0.0
14.33 0.0 7.3273E-06 0.0
14.32 0.0 7.6755E-06 0.0
14.31 0.0 8.0372E-06 0.0
14.30 0.0 8.4128E-06 0.0
14.29 0.0 8.8026E-06 0.0
14.28 0.0 9.2070E-06 0.0
14.27 0.0 9.6265E-06 0.0
14.26 0.0 1.0062E-05 0.0
14.25 0.0 1.0513E-05 0.0
14.24 0.0 1.0981E-05 0.0
14.23 0.0 1.1466E-05 0.0
14.22 0.0 1.1968E-05 0.0
14.21 0.0 1.2489E-05 0.0
14.20 0.0 1.3028E-05 0.0
14.19 0.0 1.3586E-05 0.0
14.18 0.0 1.4164E-05 0.0
14.17 0.0 1.4762E-05 0.0
14.16 0.0 1.5380E-05 0.0
14.15 0.0 1.6019E-05 0.0
14.14 0.0 1.6680E-05 0.0
14.13 0.0 1.7363E-05 0.0
14.12 0.0 1.8069E-05 0.0
14.11 0.0 1.8799E-05 0.0
14.10 0.0 1.9552E-05 0.0
14.09 0.0 2.0331E-05 0.0
14.08 0.0 2.1135E-05 0.0
14.07 0.0 2.1965E-05 0.0
14.06 0.0 2.2822E-05 0.0
14.05 0.0 2.3706E-05 0.0
14.04 0.0 2.4618E-05 0.0
14.03 0.0 2.5559E-05 0.0
14.02 0.0 2.6528E-05 0.0
14.01 0.0 2.7528E-05 0.0
14.00 0.0 2.8558E-05 0.0
13.99 0.0 2.9621E-05 0.0
13.98 0.0 3.0715E-05 0.0
13.97 0.0 3.1844E-05 0.0
13.96 0.0 3.3006E-05 0.0
13.95 0.0 3.4203E-05 0.0
13.94 0.0 3.5436E-05 0.0
13.93 0.0 3.6706E-05 0.0
13.92 0.0 3.8013E-05 0.0
13.91 0.0 3.9358E-05 0.0
13.90 0.0 4.0742E-05 0.0
13.89 0.0 4.2166E-05 0.0
13.88 0.0 4.3630E-05 0.0
13.87 0.0 4.5136E-05 0.0
13.86 0.0 4.6686E-05 0.0
13.85 0.0 4.8279E-05 0.0
13.84 0.0 4.9918E-05 0.0
13.83 0.0 5.1602E-05 0.0
13.82 0.0 5.3334E-05 0.0
13.81 0.0 5.5114E-05 0.0
13.80 0.0 5.6943E-05 0.0
13.79 0.0 5.8824E-05 0.0
13.78 0.0 6.0755E-05 0.0
13.77 0.0 6.2738E-05 0.0
13.76 0.0 6.4774E-05 0.0
13.75 0.0 6.6865E-05 0.0
13.74 0.0 6.9011E-05 0.0
13.73 0.0 7.1216E-05 0.0
13.72 0.0 7.3479E-05 0.0
13.71 0.0 7.5803E-05 0.0
13.70 0.0 7.8188E-05 0.0
13.69 0.0 8.0636E-05 0.0
13.68 0.0 8.3148E-05 0.0
13.67 0.0 8.5727E-05 0.0
13.66 0.0 8.8372E-05 0.0
13.65 0.0 9.1086E-05 0.0
13.64 0.0 9.3868E-05 0.0
13.63 0.0 9.6721E-05 0.0
13.62 0.0 9.9646E-05 0.0
13.61 0.0 1.0265E-04 0.0
13.60 0.0 1.0572E-04 0.0
13.59 0.0 1.0888E-04 0.0
13.58 0.0 1.1211E-04 0.0
13.57 0.0 1.1542E-04 0.0
13.56 0.0 1.1882E-04 0.0
13.55 0.0 1.2231E-04 0.0
13.54 0.0 1.2588E-04 0.0
13.53 0.0 1.2953E-04 0.0
13.52 0.0 1.3328E-04 0.0
13.51 0.0 1.3712E-04 0.0
13.50 0.0 1.4106E-04 0.0
13.49 0.0 1.4508E-04 0.0
13.48 0.0 1.4921E-04 0.0
13.47 0.0 1.5344E-04 0.0
13.46 0.0 1.5777E-04 0.0
13.45 0.0 1.6220E-04 0.0
13.44 0.0 1.6674E-04 0.0
13.43 0.0 1.7139E-04 0.0
13.42 0.0 1.7616E-04 0.0
13.41 0.0 1.8103E-04 0.0
13.40 0.0 1.8603E-04 0.0
13.39 0.0 1.9114E-04 0.0
13.38 0.0 1.9637E-04 0.0
13.37 0.0 2.0172E-04 0.0
13.36 0.0 2.0720E-04 0.0
13.35 0.0 2.1281E-04 0.0
13.34 0.0 2.1855E-04 0.0
13.33 0.0 2.2442E-04 0.0
13.32 0.0 2.3044E-04 0.0
13.31 0.0 2.3659E-04 0.0
13.30 0.0 2.4288E-04 0.0
13.29 0.0 2.4933E-04 0.0
13.28 0.0 2.5592E-04 0.0
13.27 0.0 2.6267E-04 0.0
13.26 0.0 2.6957E-04 0.0
13.25 0.0 2.7663E-04 0.0
13.24 0.0 2.8384E-04 0.0
13.23 0.0 2.9122E-04 0.0
13.22 0.0 2.9877E-04 0.0
13.21 0.0 3.0649E-04 0.0
13.20 0.0 3.1439E-04 0.0
13.19 0.0 3.2248E-04 0.0
13.18 0.0 3.3074E-04 0.0
13.17 0.0 3.3919E-04 0.0
13.16 0.0 3.4784E-04 0.0
13.15 0.0 3.5668E-04 0.0
13.14 0.0 3.6572E-04 0.0
13.13 0.0 3.7496E-04 0.0
13.12 0.0 3.8441E-04 0.0
13.11 0.0 3.9407E-04 0.0
13.10 0.0 4.0394E-04 0.0
13.09 0.0 4.1404E-04 0.0
13.08 0.0 4.2436E-04 0.0
13.07 0.0 4.3491E-04 0.0
13.06 0.0 4.4570E-04 0.0
13.05 0.0 4.5673E-04 0.0
13.04 0.0 4.6800E-04 0.0
13.03 0.0 4.7953E-04 0.0
13.02 0.0 4.9131E-04 0.0
13.01 0.0 5.0336E-04 0.0
13.00 0.0 5.1568E-04 0.0
12.99 0.0 5.2826E-04 0.0
12.98 0.0 5.4111E-04 0.0
12.97 0.0 5.5425E-04 0.0
12.96 0.0 5.6767E-04 0.0
12.95 0.0 5.8139E-04 0.0
12.94 0.0 5.9541E-04 0.0
12.93 0.0 6.0975E-04 0.0
12.92 0.0 6.2440E-04 0.0
12.91 0.0 6.3937E-04 0.0
12.90 0.0 6.5467E-04 0.0
12.89 0.0 6.7031E-04 0.0
12.88 0.0 6.8629E-04 0.0
12.87 0.0 7.0262E-04 0.0
12.86 0.0 7.1930E-04 0.0
12.85 0.0 7.3634E-04 0.0
12.84 0.0 7.5375E-04 0.0
12.83 0.0 7.7153E-04 0.0
12.82 0.0 7.8970E-04 0.0
12.81 0.0 8.0827E-04 0.0
12.80 0.0 8.2725E-04 0.0
12.79 0.0 8.4664E-04 0.0
12.78 0.0 8.6645E-04 0.0
12.77 0.0 8.8669E-04 0.0
12.76 0.0 9.0738E-04 0.0
12.75 0.0 9.2851E-04 0.0
12.74 0.0 9.5011E-04 0.0
12.73 0.0 9.7216E-04 0.0
12.72 0.0 9.9468E-04 0.0
12.71 0.0 1.0177E-03 0.0
12.70 0.0 1.0412E-03 0.0
12.69 0.0 1.0652E-03 0.0
12.68 0.0 1.0897E-03 0.0
12.67 0.0 1.1148E-03 0.0
12.66 0.0 1.1404E-03 0.0
12.65 0.0 1.1665E-03 0.0
12.64 0.0 1.1932E-03 0.0
12.63 0.0 1.2205E-03 0.0
12.62 0.0 1.2484E-03 0.0
12.61 0.0 1.2769E-03 0.0
12.60 0.0 1.3060E-03 0.0
12.59 0.0 1.3357E-03 0.0
12.58 0.0 1.3660E-03 0.0
12.57 0.0 1.3970E-03 0.0
12.56 0.0 1.4287E-03 0.0
12.55 0.0 1.4610E-03 0.0
12.54 0.0 1.4940E-03 0.0
12.53 0.0 1.5278E-03 0.0
12.52 0.0 1.5623E-03 0.0
12.51 0.0 1.5975E-03 0.0
12.50 0.0 1.6334E-03 0.0
12.49 0.0 1.6702E-03 0.0
12.48 0.0 1.7077E-03 0.0
12.47 0.0 1.7460E-03 0.0
12.46 0.0 1.7852E-03 0.0
12.45 0.0 1.8251E-03 0.0
12.44 0.0 1.8659E-03 0.0
12.43 0.0 1.9076E-03 0.0
12.42 0.0 1.9502E-03 0.0
12.41 0.0 1.9937E-03 0.0
12.40 0.0 2.0381E-03 0.0
12.39 0.0 2.0835E-03 0.0
12.38 0.0 2.1299E-03 0.0
12.37 0.0 2.1772E-03 0.0
12.36 0.0 2.2256E-03 0.0
12.35 0.0 2.2750E-03 0.0
12.34 0.0 2.3254E-03 0.0
12.33 0.0 2.3769E-03 0.0
12.32 0.0 2.4295E-03 0.0
12.31 0.0 2.4832E-03 0.0
12.30 0.0 2.5381E-03 0.0
12.29 0.0 2.5941E-03 0.0
12.28 0.0 2.6514E-03 0.0
12.27 0.0 2.7099E-03 0.0
12.26 0.0 2.7696E-03 0.0
12.25 0.0 2.8306E-03 0.0
12.24 0.0 2.8929E-03 0.0
12.23 0.0 2.9565E-03 0.0
12.22 0.0 3.0215E-03 0.0
12.21 0.0 3.0879E-03 0.0
12.20 0.0 3.1557E-03 0.0
12.19 0.0 3.2249E-03 0.0
12.18 0.0 3.2955E-03 0.0
12.17 0.0 3.3677E-03 0.0
12.16 0.0 3.4415E-03 0.0
12.15 0.0 3.5168E-03 0.0
12.14 0.0 3.5937E-03 0.0
12.13 0.0 3.6723E-03 0.0
12.12 0.0 3.7525E-03 0.0
12.11 0.0 3.8345E-03 0.0
12.10 0.0 3.9182E-03 0.0
12.09 0.0 4.0038E-03 0.0
12.08 0.0 4.0911E-03 0.0
12.07 0.0 4.1803E-03 0.0
12.06 0.0 4.2713E-03 0.0
12.05 0.0 4.3643E-03 0.0
