rproj_fit_mult,vproj_fit_mult,vproj_fit_offset,gd_rproj_fit_mult,gd_vproj_fit_mult,gd_vproj_fit_offset,mu_HME,mu_HME_dyn,mu_HME_HAMngt7,P_G,C_G,P_H,C_H,mu_HME_dw,P_G_dw,C_G_dw,P_H_dw,C_H_dw,P_G_dwgt1,C_G_dwgt1,P_H_dwgt1,C_H_dwgt1,mu_HME_dwgt1,n_dwgroups,n_Ngt1dwgroups
3,4,200,1,1,0,0.16100000000000136,0.3420153021630324,0.22199999999999953,0.989588434256075,0.8959929310639411,0.9348515644796743,0.9581077696482446,0.1620000000000008,0.999342115156163,0.897378177311143,0.9926382948276711,0.9457728906110626,0.9376780626780626,0.9380341880341881,0.8125,0.9496527777777777,0.18951346727726678,7389,78
3,4,200,1,1,100,0.1609999999999996,0.3420153021630324,0.22199999999999953,0.9895296807441044,0.901049109231146,0.9348515644796743,0.9609927749942607,0.1623783668193168,0.9993373621713316,0.9038614165965152,0.9926382948276711,0.9495929452878833,0.9626068376068376,0.9615384615384616,0.8783783783783784,0.9662162162162162,0.18125673363863254,7336,130
3,4,200,1,1,200,0.1609999999999996,0.3420153021630324,0.22199999999999953,0.9895296807441044,0.901049109231146,0.9348515644796743,0.9609927749942607,0.1623783668193168,0.9993373621713316,0.9038614165965152,0.9926382948276711,0.9495929452878833,0.9626068376068376,0.9615384615384616,0.8783783783783784,0.9662162162162162,0.18125673363863254,7336,130
3,4,200,1,1,300,0.1609999999999996,0.3420153021630324,0.22199999999999953,0.9895296807441044,0.901049109231146,0.9348515644796743,0.9609927749942607,0.1623783668193168,0.9993373621713316,0.9038614165965152,0.9926382948276711,0.9495929452878833,0.9626068376068376,0.9615384615384616,0.8783783783783784,0.9662162162162162,0.18125673363863254,7336,130
3,4,200,1,2,0,0.1609999999999996,0.3420153021630324,0.22199999999999953,0.989544153274708,0.8998036399679876,0.9348515644796743,0.9602738279751257,0.1620000000000008,0.9993385343432969,0.9022625326101559,0.9926382948276711,0.9486409827805605,0.9584520417853751,0.9572649572649573,0.8666666666666667,0.9629629629629629,0.16999999999999993,7349,117
3,4,200,1,2,100,0.1609999999999996,0.3420153021630324,0.22199999999999953,0.9895296807441044,0.901049109231146,0.9348515644796743,0.9609927749942607,0.1623783668193168,0.9993373621713316,0.9038614165965152,0.9926382948276711,0.9495929452878833,0.9626068376068376,0.9615384615384616,0.8783783783783784,0.9662162162162162,0.18125673363863254,7336,130
3,4,200,1,2,200,0.1609999999999996,0.3420153021630324,0.22199999999999953,0.9895296807441044,0.901049109231146,0.9348515644796743,0.9609927749942607,0.1623783668193168,0.9993373621713316,0.9038614165965152,0.9926382948276711,0.9495929452878833,0.9626068376068376,0.9615384615384616,0.8783783783783784,0.9662162162162162,0.18125673363863254,7336,130
3,4,200,1,2,300,0.1609999999999996,0.3420153021630324,0.22199999999999953,0.9895296807441044,0.901049109231146,0.9348515644796743,0.9609927749942607,0.1623783668193168,0.9993373621713316,0.9038614165965152,0.9926382948276711,0.9495929452878833,0.9626068376068376,0.9615384615384616,0.8783783783783784,0.9662162162162162,0.18125673363863254,7336,130
3,4,200,1,3,0,0.1609999999999996,0.3420153021630324,0.22199999999999953,0.9895307954379462,0.900953181507391,0.9348515644796743,0.9609374713774042,0.1620000000000008,0.9993374524858782,0.903738224363096,0.9926382948276711,0.9495197174027047,0.9623169681309216,0.9612403100775194,0.8775510204081632,0.9659863945578231,0.18099999999999916,7337,129
3,4,200,1,3,100,0.1609999999999996,0.3420153021630324,0.22199999999999953,0.9895296807441044,0.901049109231146,0.9348515644796743,0.9609927749942607,0.1623783668193168,0.9993373621713316,0.9038614165965152,0.9926382948276711,0.9495929452878833,0.9626068376068376,0.9615384615384616,0.8783783783783784,0.9662162162162162,0.18125673363863254,7336,130
