logm200,mhi
10.348088531187122, 6.427712617166413
10.404426559356136, 7.025617117338175
10.44466800804829, 7.379521028610689
10.46881287726358, 7.635765814398587
10.541247484909455, 7.770353830298866
10.863179074446679, 8.308902193649702
11.13682092555332, 8.688619522010109
11.40241448692153, 9.00731216567699
11.611670020120723, 9.276880796976984
11.732394366197182, 9.387373018599401
11.869215291750502, 9.473573146194239
12.070422535211266, 9.34065367816656
12.303822937625753, 8.96402807086421
12.496981891348089, 8.818864405947883
12.682092555331991, 8.917554105118516
12.843058350100602, 9.138047798989057
13.060362173038229, 9.44425087108014
13.342052313883299, 9.909383128036511
13.503018108651911, 10.142071943858271
13.680080482897383, 10.423639397359768
14.267605633802816, 11.171124306816509
14.549295774647886, 11.502110222309467
14.839034205231387, 11.759974481032536
15, 11.956077931000639
