logmh,resmhigrp,resmhigrp_staterrlo,resmhigrp_staterrhi,resmhigrp_syserrlo,resmhigrp_syserrhi,ecomhigrp,ecomhigrp_staterrlo,ecomhigrp_staterrhi,ecomhigrp_syserrlo,ecomhigrp_syserrhi,ecogrpmstar,ecogrpmbary
11.075,8.707439720008216,0.046057370245412343,0.038288768801658435,0.05404325734952309,0.08661005369294905,8.706527576398102,0.020975404079727866,0.016704669867184663,0.037600140380860125,0.13760021667480515,8.514472671280869,9.023594751846607
11.225000000000001,8.948653000403,0.038161767867666896,0.036128354623711445,0.02366758859065854,0.05009575287432888,8.890308952900721,0.014205406593516656,0.016948366532675507,0.0975997840881373,0.11520021667480229,8.722685729517615,9.255739655188313
11.375,9.11767078027311,0.041250645852212386,0.03667328914913348,0.06931275453109009,0.02730555042819205,9.133271594130527,0.015528391234536087,0.016511852734117483,0.0923051607599863,0.1180946713933313,9.023840228356145,9.5174669657655
11.524999999999999,9.283313230111776,0.0382071849331691,0.03358426341685039,0.08385584938438306,0.04068970807348471,9.254550111380295,0.014603668253181823,0.027088363167113272,0.08999994812011636,0.10999995443066268,9.3431325631979,9.739356107557771
11.675,9.381787915823644,0.0707165400639127,0.04498325161275929,0.06784915413678405,0.06193389942246519,9.353383988567984,0.02446353748450747,0.021644207328769483,0.08279986064404277,0.08759959716796573,9.624089990469711,9.946900464565667
11.875,9.385572513463655,0.05774116265221174,0.09408744977047512,0.04198509582662879,0.0966668599012479,9.422116998489006,0.0349636466117218,0.035875480753531974,0.03452088349573046,0.05727584000074337,10.118983541388713,10.240675219470257
12.125,9.662618299222514,0.04308892227581218,0.06611121964210653,0.08742205790504798,0.04715198903551432,9.596985374482752,0.042555726647373504,0.02751327667656689,0.12817502546804782,0.12222353753881698,10.45198769066074,10.543910920177286
12.375,9.766644835994423,0.0814805705278232,0.13935758273502152,0.14469373459786894,0.16405121436606507,9.70872146903291,0.05183819314154192,0.04522151451315004,0.05296635603834687,0.08985580486624478,10.694799789502051,10.785312351311756
12.625,9.696911488231674,0.09166428602428311,0.16590930598763087,0.09039719509454258,0.18739444988407783,9.843967352143038,0.10669321103890539,0.01990172919400912,0.09139430229821066,0.10949111088989127,10.91224138371113,10.980075107696388
12.85,9.754227382764729,0.16081906852838124,0.17337676941231805,0.16764687440249304,0.34502079575776,9.855773243743512,0.034946147950819295,0.10888978609566813,0.10605291622385238,0.08160926230927856,11.10418457992008,11.151000702220143
13.125,10.099909552933148,0.17579819025634258,0.035128777196266725,0.11854765351449714,0.13317178149628717,10.104438803429098,0.061350768438220626,0.03693924433852658,0.1384542052640878,0.05856541956919514,11.220830117920324,11.276598187263902
14.025,10.29461645763897,0.09899766864655035,0.15478564233709058,0.19586781543661402,0.050972295119398936,10.345328508315678,0.05071331322452011,0.02566108586466065,0.0638358808661188,0.12832106545444155,11.549579006451902,11.578152591056394
