logmh,resfrac,resfrac_staterrlo,resfrac_staterrhi,resfrac_syserrlo,resfrac_syserrhi,ecofrac,ecofrac_staterrlo,ecofrac_staterrhi,ecofrac_syserrlo,ecofrac_syserrhi,ecostellarfrac,ecostellarfrac_staterrlo,ecostellarfrac_staterrhi,ecobaryfrac,ecobaryfrac_staterrlo,ecobaryfrac_staterrhi
11.075,-2.3878417772496103,0.03801960031550555,0.0463804619977255,0.051799568473503754,0.10254073020644583,-2.4294938660390057,0.01793014388872427,0.0257041881041431,0.07536049006909007,0.13897944458007894,-2.6144340176038128,0.009365975985379471,0.008763581104404228,-2.1031980861130766,0.010177147935860553,0.015283886796463086
11.225000000000001,-2.279232719809924,0.026834460480507527,0.0416032107634936,0.017248530450018507,0.057520771659140824,-2.3502138714451295,0.010370697508984783,0.016744045513748418,0.10009011232653808,0.11111163072172614,-2.5078978459689534,0.008238947183589751,0.005266223778193968,-1.9915746012020534,0.006826670688733438,0.008479510836928883
11.375,-2.2562136183181583,0.036051689333886916,0.03218338023891709,0.049096035708241725,0.03763458823090238,-2.2367736008351313,0.018861827746872617,0.011533270643401483,0.08868940261840752,0.12505920482141653,-2.3555305911105258,0.010936871420740513,0.007392969495108925,-1.8599939917379729,0.006527290290637255,0.004109956147773319
11.524999999999999,-2.241118228816779,0.0388737988618133,0.026337761243900637,0.08340546060543375,0.05811134659706063,-2.250868731413915,0.02311484123313967,0.016981767432851402,0.08169199407449579,0.11303743610561323,-2.1871334617593616,0.012031832866758574,0.010192688431731156,-1.7915127781870703,0.004340045127409153,0.005457501933473052
11.675,-2.2994903106999605,0.05185574519324687,0.06748943958649134,0.03506053588983615,0.07926251903197823,-2.327662062526934,0.023640723106169936,0.029681825127140016,0.10452110309041229,0.0730296260324752,-2.0459470619054567,0.02029059122857868,0.013492392674680609,-1.7308305499819197,0.00985343252750237,0.007249963149054128
11.875,-2.4713042445939806,0.07983179325642187,0.09299830159153455,0.1164070746664998,0.08251657184373018,-2.451895611112902,0.03309187893805143,0.029636343615511596,0.028306323905076702,0.02425981994628934,-1.771920291987886,0.018312930468646016,0.012981955686205637,-1.6406157842991682,0.008168770505582401,0.006480559734923785
12.125,-2.4731209330684454,0.06344038269394492,0.0902141363973934,0.09831861301949463,0.07687535150453684,-2.575962519769604,0.04175950856897925,0.048735086812768724,0.11483523587879141,0.13884072251110968,-1.6669126435288337,0.009310226491016982,0.009047055412265248,-1.5818746120531237,0.00942794963755511,0.006718457513790632
12.375,-2.543367341288728,0.2793768701887074,0.06967164969452755,0.15919574936658387,0.18914154847400333,-2.668621925759984,0.053712681247604976,0.04401134104184434,0.0595317602785026,0.07930231770723006,-1.6828889802730735,0.01811494844974404,0.020582230662791412,-1.6034421654749256,0.01730537883539829,0.01149181358569984
12.625,-2.9362014785107764,0.06943899154846722,0.14523611831745553,0.19416635632107537,0.25996743335374184,-2.8302829684537603,0.07883093511749051,0.06880488188272249,0.07097310769856824,0.157520981408791,-1.7426476275827287,0.01985493484332035,0.03237069015316818,-1.659773204508788,0.01873126456744645,0.01026523253603262
12.85,-2.897572701615702,0.24339064834419322,0.07985374415780733,0.14443787220869986,0.3178787891966248,-2.9503137828448445,0.0705292901717649,0.053892894776241373,0.09334733247143001,0.09230470709744187,-1.7647317118298549,0.01727505256065176,0.020940973273700925,-1.7107248841348284,0.021278398164183532,0.019855407857216623
13.125,-3.0748263068508246,0.11074157303962595,0.07302049442476255,0.13644075898130303,0.12420168160876122,-3.0363277244113345,0.08076802629762936,0.044369872314574454,0.16559752509530457,0.08700254318549039,-1.8846530971589033,0.015527009657600788,0.018342771482883213,-1.8328582194903822,0.020049672398471552,0.009123664755050553
14.025,-3.185825699044792,0.21432404582603848,0.20976124940829166,0.13938654085457225,0.18728649072754688,-3.343878892981026,0.0491310460365586,0.035270124735641506,0.12387992775709122,0.08774852987664739,-2.051446435524266,0.017250119378755535,0.01408894157093199,-2.012117645744927,0.01489054267970058,0.01772312989301783
