logmh,resmhigrp,resmhigrp_staterrlo,resmhigrp_staterrhi,resmhigrp_syserrlo,resmhigrp_syserrhi,ecomhigrp,ecomhigrp_staterrlo,ecomhigrp_staterrhi,ecomhigrp_syserrlo,ecomhigrp_syserrhi,ecogrpmstar,ecogrpmbary
11.075,8.730099622631762,0.028058426380525248,0.04967323269498891,0.05164015664990096,0.12740715138449943,8.701154378856762,0.022368110791314066,0.0214668299590155,0.037600140380860125,0.13760021667480515,8.51,9.022818180223261
11.225000000000001,8.952620499351763,0.04481096316739297,0.031940226725220455,0.03917452696830104,0.06291328614089942,8.884926750641762,0.016888171123072837,0.014597151167762945,0.0975997840881373,0.11520021667480229,8.71,9.24995578381033
11.375,9.122834921071762,0.04049914999712989,0.03741162796376862,0.06000750439130087,0.0322575714449016,9.13322525432176,0.014623143265911409,0.018585750626758824,0.0923051607599863,0.11809467139333307,9.03,9.513540621835672
11.524999999999999,9.30168224270176,0.04726729896208326,0.025657070219530453,0.07593221347400103,0.04938801638999735,9.266022266381762,0.01872805862825011,0.023154278302115472,0.08999994812011636,0.1099999544306609,9.35,9.733075155054411
11.675,9.37679173083676,0.058488034070244055,0.057671374064366177,0.06549700618010057,0.06812240977309969,9.357014690616761,0.02927267006979406,0.020454346245617927,0.08279986064404454,0.08759959716796573,9.63,9.948241250418716
11.875,9.374157890701762,0.058592081124173134,0.09564287057538934,0.0589675474444018,0.10509465002999896,9.418468294701764,0.03638151200516049,0.03569071749716102,0.03452088349573046,0.05727584000074515,10.108134020582858,10.22812751679049
12.125,9.619371903272217,0.0477746692699661,0.06713751034140536,0.11093969087007238,0.1015717829968601,9.558697036877165,0.057694199191915985,0.03520920149432527,0.1281750254680496,0.12222353753881698,10.43835697095824,10.526937511018296
12.375,9.763337426459032,0.20510548275545126,0.1355431161898366,0.1491023871783419,0.1896756772668553,9.70148080680161,0.04403446809257083,0.035416006246938636,0.05296635603834687,0.08985580486624656,10.684330762360636,10.768876869362831
12.625,9.648700481473073,0.06331021150342053,0.16534433696507556,0.11061759430505447,0.16255965834089459,9.831681676337752,0.10616445312471612,0.032242009495240254,0.09139430229821066,0.10949111088989305,10.907778742980424,10.973768724369291
12.85,9.980795747329438,0.2743627686811294,0.0566091446733914,0.16091676451202375,0.2503953530934595,9.85901657990377,0.038498101723913436,0.10362769030615127,0.10605291622385238,0.08160926230927856,11.09,11.141155162019697
13.125,10.049741962000471,0.14379384834027142,0.044935543779368814,0.20387943907713613,0.11772680223317877,10.080390878107824,0.07761344556651295,0.03553325850595179,0.1384542052640878,0.05856541956919514,11.211469511368634,11.266199874700048
14.025,10.24108482888886,0.08524103346222489,0.11772049230067338,0.12664187873263621,0.06017394426391398,10.302804939695395,0.023929373950490884,0.04306808793536199,0.0638358808661188,0.12832106545444155,11.524229709331628,11.549309661626014
