logMhalo_heq1,logMHI_heq1
10.159135559921415, 7.934987223442094
10.18271119842829, 7.96771832505104
10.212180746561886, 7.993926319709283
10.229862475442044, 8.0201086328441
10.259332023575638, 8.059388522927179
10.288801571709234, 8.09213246529784
10.31827111984283, 8.124876407668502
10.353634577603144, 8.164169138513294
10.38310412573674, 8.209984976308794
10.418467583497053, 8.249277707153587
10.459724950884087, 8.301655174184932
10.495088408644401, 8.334411957317307
10.530451866404714, 8.380240635874518
10.583497053045187, 8.43917973214171
10.63064833005894, 8.491570039934768
10.666011787819254, 8.53739871849198
10.701375245579568, 8.576691449336774
10.7426326129666, 8.6225329686557
10.789783889980354, 8.66838732873634
10.831041257367387, 8.720764795767684
10.872298624754421, 8.76660631508661
10.907662082514735, 8.799363098218985
10.948919449901767, 8.845204617537911
11.00196463654224, 8.891071818380265
11.037328094302554, 8.923828601512641
11.078585461689588, 8.963134173119148
11.143418467583498, 9.002491107772512
11.172888015717092, 9.022163154718337
11.208251473477407, 9.035312094713458
11.261296660117878, 9.04849955699372
11.302554027504911, 9.042053494613299
11.343811394891945, 9.029071484520461
11.379174852652259, 9.00300473824107
11.414538310412574, 8.970402044249264
11.455795677799607, 8.911668400169496
11.491159135559922, 8.846385967615598
11.520628683693516, 8.787626642012402
11.56777996070727, 8.683154204707423
11.585461689587426, 8.611297302155963
11.614931237721022, 8.526394185703094
11.63261296660118, 8.448001335439217
11.662082514734774, 8.330418480424257
11.679764243614931, 8.265097525585217
11.709233791748527, 8.167122513707511
11.726915520628683, 8.082193715731217
11.74459724950884, 8.023408708604594
11.779960707269154, 7.945054380625857
11.827111984282908, 7.90594142044506
11.891944990176817, 7.932226459673586
11.762278978388998, 7.984231544615225
11.921414538310412, 7.951898506619411
11.956777996070727, 7.991191237464205
11.992141453831042, 8.023948020596581
12.021611001964637, 8.050156015254824
12.05108055009823, 8.089435905337904
12.074656188605108, 8.115631059234433
12.110019646365423, 8.148387842366809
12.127701375245579, 8.168034207789205
12.19842829076621, 8.233547774053957
12.2573673870334, 8.285963763370441
12.304518664047151, 8.3383540711635
12.363457760314342, 8.410377903617242
12.428290766208251, 8.46934268140786
12.481335952848722, 8.521745829962633
12.546168958742632, 8.587246555465669
12.646365422396856, 8.6920400118135
12.717092337917485, 8.75755357807825
12.770137524557956, 8.81649267434544
12.834970530451866, 8.87545745213606
12.893909626719058, 8.934409389164964
12.970530451866404, 9.006471743903848
13.029469548133594, 9.071959628645171
13.212180746561886, 9.248828280493598
13.30058939096267, 9.340524159893164
13.400785854616895, 9.432245720816157
13.760314341846758, 9.799042079176136
13.889980353634577, 9.930043530182209
13.111984282907663, 9.157106719570603
13.506876227897838, 9.543587965638121
13.648330058939097, 9.68768699359246
