16.000  3.9251e-13  3.9251e-16  18.8078
15.999  4.0410e-13  7.9661e-16  18.7798
15.998  4.1600e-13  1.2126e-15  18.7518
15.997  4.2823e-13  1.6408e-15  18.7239
15.996  4.4080e-13  2.0816e-15  18.6960
15.995  4.5371e-13  2.5353e-15  18.6682
15.994  4.6698e-13  3.0023e-15  18.6404
15.993  4.8062e-13  3.4829e-15  18.6127
15.992  4.9462e-13  3.9776e-15  18.5851
15.991  5.1627e-13  4.4938e-15  18.5419
15.990  5.3106e-13  5.0249e-15  18.5147
15.989  5.4626e-13  5.5712e-15  18.4876
15.988  5.6186e-13  6.1330e-15  18.4605
15.987  5.7789e-13  6.7109e-15  18.4335
15.986  5.9434e-13  7.3053e-15  18.4065
15.985  6.1123e-13  7.9165e-15  18.3796
15.984  6.2857e-13  8.5451e-15  18.3527
15.983  6.4637e-13  9.1914e-15  18.3259
15.982  6.6465e-13  9.8561e-15  18.2991
15.981  6.8340e-13  1.0539e-14  18.2723
15.980  7.0265e-13  1.1242e-14  18.2457
15.979  7.2243e-13  1.1965e-14  18.2190
15.978  7.4271e-13  1.2707e-14  18.1924
15.977  7.6353e-13  1.3471e-14  18.1658
15.976  7.8490e-13  1.4256e-14  18.1393
15.975  8.0683e-13  1.5063e-14  18.1129
15.974  8.2933e-13  1.5892e-14  18.0865
15.973  8.5243e-13  1.6744e-14  18.0601
15.972  8.7612e-13  1.7620e-14  18.0338
15.971  9.0043e-13  1.8521e-14  18.0075
15.970  9.2537e-13  1.9446e-14  17.9812
15.969  9.5096e-13  2.0397e-14  17.9551
15.968  9.7722e-13  2.1374e-14  17.9289
15.967  1.0041e-12  2.2379e-14  17.9028
15.966  1.0318e-12  2.3410e-14  17.8768
15.965  1.0601e-12  2.4470e-14  17.8508
15.964  1.0892e-12  2.5560e-14  17.8248
15.963  1.1190e-12  2.6679e-14  17.7989
15.962  1.1496e-12  2.7828e-14  17.7730
15.961  1.1809e-12  2.9009e-14  17.7472
15.960  1.2131e-12  3.0222e-14  17.7214
15.959  1.2461e-12  3.1468e-14  17.6957
15.958  1.2799e-12  3.2748e-14  17.6700
15.957  1.3146e-12  3.4063e-14  17.6443
15.956  1.3502e-12  3.5413e-14  17.6187
15.955  1.3866e-12  3.6800e-14  17.5932
15.954  1.4240e-12  3.8224e-14  17.5677
15.953  1.4623e-12  3.9686e-14  17.5422
15.952  1.5016e-12  4.1188e-14  17.5168
15.951  1.5419e-12  4.2729e-14  17.4914
15.950  1.5832e-12  4.4313e-14  17.4661
15.949  1.6255e-12  4.5938e-14  17.4408
15.948  1.6689e-12  4.7607e-14  17.4155
15.947  1.7134e-12  4.9320e-14  17.3903
15.946  1.7589e-12  5.1079e-14  17.3651
15.945  1.8057e-12  5.2885e-14  17.3400
15.944  1.8535e-12  5.4738e-14  17.3150
15.943  1.9026e-12  5.6641e-14  17.2899
15.942  1.9528e-12  5.8594e-14  17.2649
15.941  2.0043e-12  6.0598e-14  17.2400
15.940  2.0571e-12  6.2655e-14  17.2151
15.939  2.1112e-12  6.4767e-14  17.1902
15.938  2.1666e-12  6.6933e-14  17.1654
15.937  2.2234e-12  6.9156e-14  17.1406
15.936  2.2815e-12  7.1438e-14  17.1159
15.935  2.3411e-12  7.3779e-14  17.0912
15.934  2.4021e-12  7.6181e-14  17.0666
15.933  2.4646e-12  7.8646e-14  17.0420
15.932  2.5287e-12  8.1174e-14  17.0174
15.931  2.5942e-12  8.3769e-14  16.9929
15.930  2.6614e-12  8.6430e-14  16.9684
15.929  2.7302e-12  8.9160e-14  16.9440
15.928  2.8007e-12  9.1961e-14  16.9196
15.927  2.8728e-12  9.4834e-14  16.8952
15.926  2.9468e-12  9.7781e-14  16.8709
15.925  3.0224e-12  1.0080e-13  16.8466
15.924  3.0999e-12  1.0390e-13  16.8224
15.923  3.1792e-12  1.0708e-13  16.7982
15.922  3.2604e-12  1.1034e-13  16.7741
15.921  3.3436e-12  1.1369e-13  16.7500
15.920  3.4287e-12  1.1711e-13  16.7259
15.919  3.5159e-12  1.2063e-13  16.7019
15.918  3.6051e-12  1.2424e-13  16.6779
15.917  3.6965e-12  1.2793e-13  16.6540
15.916  3.7900e-12  1.3172e-13  16.6301
15.915  3.8857e-12  1.3561e-13  16.6062
15.914  3.9837e-12  1.3959e-13  16.5824
15.913  4.0840e-12  1.4368e-13  16.5586
15.912  4.1866e-12  1.4786e-13  16.5349
15.911  4.2917e-12  1.5215e-13  16.5112
15.910  4.3991e-12  1.5655e-13  16.4876
15.909  4.5091e-12  1.6106e-13  16.4640
15.908  4.6217e-12  1.6568e-13  16.4404
15.907  4.7369e-12  1.7042e-13  16.4168
15.906  4.8547e-12  1.7528e-13  16.3934
15.905  4.9753e-12  1.8025e-13  16.3699
15.904  5.0987e-12  1.8535e-13  16.3465
15.903  5.2249e-12  1.9057e-13  16.3231
15.902  5.3540e-12  1.9593e-13  16.2998
15.901  5.4861e-12  2.0141e-13  16.2765
15.900  5.6212e-12  2.0704e-13  16.2532
15.899  5.7595e-12  2.1280e-13  16.2300
15.898  5.9010e-12  2.1870e-13  16.2069
15.897  6.0456e-12  2.2474e-13  16.1837
15.896  6.1935e-12  2.3094e-13  16.1606
15.895  6.3449e-12  2.3728e-13  16.1376
15.894  6.4997e-12  2.4378e-13  16.1145
15.893  6.6578e-12  2.5044e-13  16.0916
15.892  6.8198e-12  2.5726e-13  16.0686
15.891  6.9853e-12  2.6424e-13  16.0457
